ID_REF,GSM50992,GSM50993,GSM50995,GSM51000,GSM51003,GSM51004,GSM51006,GSM51012,GSM51026,GSM51032,GSM51037,GSM51040,GSM51042,GSM51046,GSM51048,GSM51049,GSM51064,GSM51067,GSM51078,GSM51082,GSM51090,GSM51092,GSM51093,GSM51097,GSM51100,GSM51102,GSM51107,GSM51114,GSM51125,GSM51127,GSM51131,GSM51132,GSM51135,GSM51137,GSM51141,GSM51143,GSM51145,GSM51150,GSM51155,GSM51167,GSM51175,GSM51189,GSM51204,GSM51213,GSM51221,GSM51231,GSM51237,GSM51242,GSM51243,GSM51252,GSM51254,GSM51257,GSM51264,GSM51274,GSM51278,GSM51282,GSM51283,GSM51296,GSM51299,GSM51302,GSM51307,GSM51310,GSM51319,GSM51321,GSM51329,GSM51334,GSM95648,GSM95649,GSM95650,GSM95654,GSM95671,GSM95673,GSM95681,GSM95689,GSM95692,GSM95693,GSM95697,GSM95699,GSM95702,GSM95703,GSM95715,GSM95716,GSM95719,GSM95728,GSM95733,GSM95738,GSM95747,GSM95748,GSM95749,GSM95751,GSM95752,GSM95755,GSM95763,GSM95775,GSM95778,GSM95779,GSM95781,GSM95786,GSM95787,GSM95788,GSM95792,GSM95794,GSM95795,GSM95799,GSM95805,GSM95806,GSM95816,GSM102611,GSM102612,GSM102613,GSM102616,GSM102623,GSM102625,GSM102629,GSM102630,GSM102634,GSM50989,GSM50990,GSM51001,GSM51019,GSM51035,GSM51038,GSM51043,GSM51044,GSM51052,GSM51053,GSM51060,GSM51061,GSM51071,GSM51076,GSM51077,GSM51081,GSM51086,GSM51088,GSM51089,GSM51101,GSM51108,GSM51116,GSM51120,GSM51123,GSM51124,GSM51151,GSM51162,GSM51165,GSM51170,GSM51185,GSM51190,GSM51202,GSM51211,GSM51217,GSM51224,GSM51240,GSM51269,GSM51284,GSM51286,GSM51294,GSM51298,GSM51317,GSM51318,GSM51335,GSM95653,GSM95655,GSM95668,GSM95691,GSM95706,GSM95709,GSM95721,GSM95727,GSM95739,GSM95743,GSM95754,GSM95757,GSM95760,GSM95767,GSM95773,GSM95782,GSM95807,GSM95812,GSM95825,GSM102609,GSM102624,GSM102626,GSM102628,GSM102632
A1BG,444.10001,674.59998,6.1999998,134,561.09998,6.9000001,513.29999,432.10001,170.3,403.70001,384.29999,136.7,131.89999,64.099998,201.2,160.7,65.199997,407.20001,177.39999,457.89999,318.5,518.29999,304.39999,55,175.60001,150.39999,368.60001,264.89999,421.60001,434.39999,377.70001,20.799999,261.39999,7.5,328.70001,235.5,73.800003,353.79999,161.2,272.39999,77,226.8,42.200001,85.900002,16.9,104.8,202.8,690,501.70001,241.10001,337,291.10001,414.20001,36.200001,343.79999,91.099998,32.700001,1034.9,26.700001,209.89999,119.6,270.79999,506.70001,399.89999,67.599998,333.60001,55.700001,670.20001,104.2,93.900002,28.9,483,36.400002,507.39999,469,118.3,85.800003,8.8999996,920.29999,177.5,10.1,518.09998,448.10001,210.89999,300.39999,25.9,230.3,424.39999,45.900002,369.89999,332.5,279.5,267.60001,23.5,403.5,493,245.8,5.0999999,360.20001,886.09998,5.1999998,351.39999,512.09998,53.299999,193.89999,309.39999,522.5,312.79999,401.29999,168.89999,20.299999,233,49,11.4,48.299999,461.20001,548.79999,595.40002,461.79999,439.29999,45.400002,137.89999,505.39999,29.299999,108.8,296,56.900002,204.60001,573.59998,488.70001,357.60001,69,433.5,117.4,227.8,6.8000002,136.89999,367.89999,332.5,18.200001,344.20001,362.20001,216.3,49.799999,178.60001,252.10001,365.60001,192.89999,216.7,210.89999,74.099998,154.8,20.700001,896.90002,360.89999,377.39999,16.6,455.39999,320.10001,552.20001,324.89999,39.299999,389.20001,275.20001,15.4,521.29999,242.89999,5.4000001,523.29999,447.79999,476,469.79999,261.20001,586.20001,550.29999,137.89999,591.20001,17.4,371.20001,118.5,316.79999,403.89999,534.20001,21
A1BG-AS1,146.3,163.89999,56.799999,45.599998,96.300003,39.599998,190.10001,128.8,44.400002,146.39999,40.200001,29.6,70.599998,25.700001,57.099998,47.5,59.799999,149.7,24.700001,28.6,121.3,93.199997,36,23,124.3,34.799999,49.799999,25.700001,50.599998,236.8,70.199997,22.299999,47.200001,11.8,44.5,92.5,13.1,40.099998,56.099998,20.299999,23.299999,43.200001,113.1,22.9,25.700001,25.200001,55.799999,271.10001,178.2,96.199997,90.099998,53.5,145.60001,23.799999,199.8,51.299999,43.299999,45.099998,40.900002,70.800003,65.300003,46,37.200001,152.7,31.1,70.099998,119.8,49.700001,70.099998,58.5,33.700001,100.9,46.599998,72.699997,208.3,45.200001,31.299999,21.700001,111.3,43.5,25.799999,51.5,41.299999,108.2,50.200001,27.299999,37.099998,33.5,60,50.200001,150.39999,45.299999,18.1,51.400002,47.299999,37.5,50.200001,86.599998,50.900002,459.20001,44.400002,113.7,101.8,20.6,64.599998,233.10001,29.5,31.9,56.700001,54.299999,45.5,137.8,25.1,52.700001,42.700001,252.10001,82.5,291.60001,91,48.700001,48.799999,44.400002,33.299999,99.900002,29.5,67,35.900002,129.3,77.599998,75.900002,41.799999,43.200001,86.400002,45,20.700001,15.6,25.6,50.299999,47.700001,30.5,38.5,22.4,52.799999,34.099998,74.5,15.7,154.3,23.700001,34.099998,38.599998,23.5,53.099998,34.900002,396.29999,90.199997,61.099998,40.400002,91.699997,43.5,111.1,47.900002,44.599998,94.400002,24.4,35.599998,90.800003,105.6,23.4,307.60001,116.5,71.199997,61.700001,15.3,38.400002,42.299999,64.400002,85.199997,54.5,51.700001,24,319.5,160.60001,421.60001,28.299999
A1CF,108.7500015,162.450005,242.949995,175.6499995,126.750005,229.699995,345.3,125.250006,143.0000051,200.650005,292.6999895,256.300006,273.7999945,261.799995,259.60001,245.100005,198.299995,199.999994,226.8,200.0000065,225.7499935,290.700005,334.800005,220.9000015,205.699995,278.75,125.8,266.85001,309.400005,254.699995,246.4000055,94.8,301.4,123.5000005,220.449995,182.349996,402.599989,437.35,407.049995,239.699994,242.749994,394.30001,287.599995,117.9500005,302.299995,476.100005,177.3,190.800005,220.000005,261.55,177.9,211.700001,299.700005,179.6499995,362.100005,260.350004,245.09999,303.15,403.64999,237.85,176.75,250.750006,171.4500065,411.5500085,239.800006,170,270,177.15,115.3,214.550005,232.399995,248.1500015,202.850005,134.499994,297.5,199.999995,153.5499955,295.400005,165.000006,164,168.399995,172.299999,281.099995,130.3499945,278.8999995,377.45,242.55,209.450001,245.35,272.34999,365.450001,413.94999,198.25,304.2499935,137.9000035,167.9999935,194,262.649995,67.35,93.8,141,218.10001,163.800001,126.5,287.04999,195.499994,325.850005,192.2000055,246.7999955,209.500005,150,143.3499965,126.800001,422.25,150.65,590.75,322.9499915,176.0999965,133.2000065,184.250006,400.6,290.100005,455.949995,255.649995,366.8999885,476.60001,417.59999,205.9000035,361.30001,187.1500015,260.7499955,266.050005,151.9000035,219.8,305.399995,230.300005,344.150004,420.149995,383.6000115,243.799995,152.4499985,286.2500045,178.650004,367.249985,204.649995,469.750015,286.35,146.8499951,188.549999,173.0999945,429.05001,410.000005,213.899995,489.2500045,204.7,210.650004,232.84999,318.35,335.45,1192.49995,217,219.999995,295.799995,374.95001,186.6000005,402.7499955,268.449994,158.15,301.949995,288.6000005,144.0500015,134.55,285.500009,211.5,292.749995,276.950001,89.6,216.349996,159.799999,149.149995,227.0000065,321.999995,458.34999,136.2499985
A2M,198.14999,124.5000005,129.4000055,102.350001,141.799995,180.7000065,282.35001,285.050005,274.9,306.8,227.050005,170.4500055,290.5,131.699995,226.549995,208.449995,168.349996,141.649995,184.449995,191.849995,248.5,400.899995,227.699994,166.2999955,152.9,174.950001,182.900005,247.550005,191.649996,205.25,428.05,208.60001,186.4000055,126.9999995,370.45,572.35,280.15001,188.9500055,220.300005,127.3,217.100004,174.099996,184.100005,113.85,204.64999,215.549999,308.300005,400.000005,167.250006,180.7500065,63.8,162.0999965,161.8999995,640.65,267.600004,144.6,78.999999,237.05,125.6500055,159.65,121.0499949,204.39999,205.500005,239.8,165.75,293.850005,158.7999945,139.0999985,17.6999995,165.449999,160.949995,173.250006,107.3999995,677.05,117.949995,143.100005,98.599995,371.850005,383.40001,116.4999995,232.85001,265.050005,147.100004,267.599996,245.449995,110.800005,245.200005,383.800005,128.350001,168.7000045,153.6500055,146.1499995,237.000005,178.749994,443.05001,361.70001,285.39999,127.300005,151.450005,189.700005,97.300001,135.7000045,103.500005,175.45,138.600001,418.04999,249.149995,521.350005,391.25,115.2000065,80.7,361.84999,68.1500049,465.200005,298.20001,651.600005,245.150005,140.1,113.9,159.7,207.999995,200.25,401.35001,132.049995,181.949994,171.55,180.25,338,217.450001,298.55,359.95,388.699995,448.55,502.550015,176.9999935,95.5499955,341.90001,407.90001,255.799995,119.6000005,416.499985,235,149.300005,160.9999985,152.6000005,216.5,164.25,180.35,129.2500005,921.549995,271.049999,110.85,237.199995,849.950005,54.1499995,234.85001,97.6000005,284.95,115.500006,297.89999,398.949995,52.1000005,275.050005,171.600004,169.600004,200.800006,315.299995,155.549995,523.79999,392.949995,152.2000045,693.850005,103.149996,276.100005,555.500015,343.900005,520.2500065,657.8,153.200005,113.100005,93.200001,771.400005,376.85,643.9
A2M-AS1,102.2,106.3,175,74.300003,93.199997,154.60001,148.60001,72.800003,128.60001,172.39999,167,72.099998,155.39999,96.5,245.3,252.60001,122.4,42.099998,150.8,62.700001,252.8,211.89999,180.39999,176.7,213.8,20.700001,59.700001,210.2,145.2,36.200001,271.29999,235.3,163.89999,87.099998,153.3,169.5,229.2,179.10001,185.7,107.1,258.5,177.3,194.5,101.6,57.700001,70,75.699997,116.8,121.3,245.3,84.099998,90.199997,167.10001,176.2,170.10001,100.4,106.4,230,158.2,102.5,46.700001,96,137.7,200.60001,90.300003,37.599998,38.400002,124.5,112.6,86.199997,70.300003,25.1,34.5,191.39999,120.2,120.5,72.800003,219.10001,104.1,68.099998,119.1,58.5,15.6,37.5,187.39999,129,78.800003,84.699997,116.9,66.599998,186.89999,210,71.699997,112.8,98.099998,79.199997,157.8,86.800003,94.300003,125.1,101,44.400002,81.800003,140.89999,164.8,123.3,127,117.1,147.8,118.8,101.2,174.10001,83.099998,227.5,133.7,264.89999,171.3,85.699997,156.5,250.8,514.90002,257,341.79999,170.60001,198.60001,323.79999,132.5,145.60001,63.799999,92.599998,251.89999,235.89999,175,216.8,155,171,444.70001,357.5,240.3,171.60001,263.70001,232.7,381.5,41.099998,175.2,344.29999,144,113.4,112.5,227.8,259.70001,208,157.39999,341.20001,168.7,165.7,124.5,121,139.3,165.89999,128.60001,258.39999,80.400002,206.60001,130.7,209.60001,155,114.9,128.8,100,52.799999,228.39999,157.7,178.5,445.39999,218.39999,138.2,179.7,108.9,73.099998,98.300003,267.5,210,196.7
A2ML1,127.9500065,110.350001,160.800005,136.8,73.950001,252.85,200.200005,163.500005,111.499994,233.300005,149.399996,190.800005,206.849995,228.500005,262.299995,294.599995,164.55,112.35,371.149995,164.900005,188.9500035,256.999995,229.849995,220.65,278.55,169.9000055,116.2000065,277.950001,243.700005,187.9999935,266.750005,232,207.800005,134.3499985,185.099995,185.9,226.149995,282.25,315.25,168.599995,283.499995,301.25,376.25,162.649999,189.3999995,512.65,234.10001,143.300005,159.149995,253.7999945,123.750005,169,282.050005,154.199995,231.449995,166.5,287.75,372.099989,306.2,177.9,96.75,196.1,177.75,192.950001,146.8500005,291.5,245.8,118.799999,196.349995,238.95,127.3,219.299995,165.35,104.800005,151.350001,210.25,105.8499945,157.9999995,68.85,117.4000015,150.799999,94.4499995,124.9,67.150002,174.5,205.549995,148.699995,212.050005,192.75,211.5,258,255.200005,118.800001,225.350005,112.8,196.299995,162.899995,225.5,160.849995,224.049995,215.89999,256.5,272.85001,166.449995,334.40001,240.499995,165.35,159.95,166.4,135.55,91.050001,183.699995,119.6,231.700005,149.25,284.199995,286.10001,121.55,229.200005,139.749995,425.400005,161.25,306.050005,286.650005,221.35001,350.699995,250.249995,164.25,199.400004,105.4500045,290.85,285.35,130.950005,211.249995,291.10001,181,350.64999,401.7,354.850005,256.1,222.150005,289.600005,167.4500065,194.800005,114.6,298.999995,154.5000005,170.6500015,225.75,124.100005,386.09999,202.500005,246.399995,351.34999,154.349996,208.949995,143.85,188.700001,167.0499949,1108.1,271.10001,253.250005,230.649995,133.4999995,294.6,273.750005,153.400004,103.0499995,261.8,182.5,168.550005,188.650005,213.100005,217.649995,211.699995,165,129.9,236.7,193.4999935,94.0500015,115.5999985,147.399996,254.749995,142.999994
A2MP1,44.400002,255.5,249.5,58.400002,221.7,105.6,300.20001,286.20001,261.29999,233.10001,356.29999,434.79999,406.79999,324.5,220.10001,743.40002,223.5,162.10001,111.5,48.200001,342.70001,464.39999,195.60001,384,406.60001,277.5,71.099998,556.79999,495.39999,481.89999,516.20001,210,485.79999,230,597.90002,302.10001,384.89999,279.10001,406.89999,214.39999,398.39999,399.39999,680.5,46.799999,203,325.60001,334.20001,440.39999,263.70001,517.90002,241.89999,389.89999,622.70001,317.79999,490.70001,278.70001,300.79999,713.09998,494.39999,238.2,271.60001,538.79999,433.5,416.60001,261.79999,346.89999,417.39999,30.299999,49.900002,119.3,158.8,355.79999,189.3,182.3,456.89999,154.39999,166.10001,207.39999,138.60001,341.60001,218.5,233.5,328.20001,207.3,251.5,391.29999,217.3,105.8,114.1,374.5,283,115.7,100.1,349.39999,128.10001,273,539.90002,534.90002,133.10001,441.5,379.60001,558.79999,163.8,535.59998,52.099998,516.79999,289,175.60001,525.90002,230.39999,183.39999,266.60001,148.5,759.70001,252.8,520.79999,172.89999,304.70001,74.5,518.09998,810.09998,446.20001,228.3,68.5,340.70001,112.3,58.5,539.20001,445.79999,344.20001,230.8,472,371.10001,388.70001,559.59998,242,517.79999,401.79999,638.70001,507.10001,583.70001,345.39999,448.20001,362.5,371.70001,776.20001,307.29999,336.39999,291.39999,276.60001,299.29999,389.79999,433.10001,672.70001,424.5,364.10001,311.39999,244.7,274.5,923.20001,333.10001,207.2,294.89999,388.5,501.60001,106.2,491.39999,124.8,362.79999,40.900002,393.39999,64.400002,496.5,455.10001,392.29999,233.3,27.1,265.5,463.39999,251.5,213.8,314.10001,811.40002,208.7
A4GALT,48.299999,71,63.5,75.199997,92.5,112.1,52.5,101,66.599998,83.099998,67.300003,69.800003,88.300003,243.89999,53.400002,151,60.900002,48.400002,71.5,93.400002,68.800003,61,83.5,60.299999,62.799999,52.200001,63.700001,24.9,103.9,75.900002,216.10001,132.10001,48.900002,36.799999,53.099998,55.900002,63.299999,63,82.599998,110.2,59.5,79.900002,328.70001,70.599998,208.3,103.4,22.4,67.199997,112.6,53.400002,69.800003,43,61.700001,39.299999,99.300003,58,115.2,42.099998,217.60001,91.199997,102.1,62.400002,56.200001,65.699997,90.599998,101.6,189.89999,114.1,93.5,110.7,80.300003,131.89999,65.300003,56.200001,96.800003,43.599998,85.400002,61.400002,160.8,74,69.300003,66.900002,64.400002,75.599998,143.60001,85.599998,74.599998,171.8,85,39.5,83.900002,57.900002,31.1,61.599998,104.5,100.7,92.699997,95.400002,46.900002,98.300003,122.5,140.7,158.2,64.900002,48,106.6,45.700001,62,58.700001,53.400002,170.5,54.599998,65.099998,62.5,130.60001,119.7,109.8,72.300003,66.199997,53.700001,89,95.599998,65.900002,77.800003,104,80.699997,101.9,59,115.2,58,52.200001,84.199997,42,68.699997,75.400002,44.400002,60.900002,116,132.10001,55,55.5,71.199997,97.300003,86.800003,66.099998,52.299999,64.800003,42.900002,100.2,57.400002,88.5,134.39999,73.5,187.39999,66.599998,89.199997,40.5,54.5,210.8,566.90002,87.300003,91.900002,62.400002,88.300003,137.2,165.8,85.400002,77.699997,135.10001,62.900002,50.400002,77.5,70.099998,74.699997,29.299999,56.099998,63.599998,284.79999,69.599998,37.700001,51.799999,37.099998,127.4,56.5
A4GNT,130.39999,130.39999,175.3,166.60001,25.9,35.5,293.89999,217.7,73.900002,95.599998,267.5,134.10001,34,160.8,163.2,118.3,193.39999,120.3,275.29999,64.699997,166.39999,250.39999,216.5,38.299999,244.3,122.8,20.700001,445.10001,318.60001,37.200001,69.699997,152.89999,45.799999,138.3,284.79999,193,220.8,52.799999,182.10001,172.7,7.8000002,183.7,37.700001,64,149.5,268.79999,27,117,100.5,70.400002,108.5,120.9,15.9,195.2,493.20001,197.7,217,242,142.7,143.60001,28.1,33.799999,47.400002,515.90002,33.700001,77.800003,323,209.2,102.4,253.10001,173.89999,162.3,177,23.1,146.39999,220.5,32.200001,216.7,126,20.4,67.300003,157.2,88.300003,192.5,99.300003,43.299999,33.099998,122.2,305,166.2,142.3,142.60001,153.2,169.5,81.199997,55.799999,146.60001,49.599998,175.39999,30.6,24.9,17.6,143.39999,20,54.200001,67.699997,367.60001,328.29999,201,329,141.2,36.200001,111,41,155.3,281.70001,168.3,191.8,126.5,159.89999,104.3,38.700001,327.5,126.7,49.400002,48.5,65.5,38.799999,70.599998,15.5,504.20001,58,93.900002,32.099998,155.7,49.799999,214.8,103,96.5,48,91.300003,183,253.7,163.2,151.5,119.9,276.79999,110,27.700001,281,220.5,175.5,85.5,227.8,149.39999,123.5,99.599998,50.299999,277.70001,571.70001,189.60001,54.599998,197.39999,184.39999,91.900002,231.3,174.3,209.2,134.60001,409,33.5,294.70001,134.8,163.3,110.7,131.8,44.799999,125.5,299.60001,35.5,125.5,144.2,190.10001,46
AA06,238.2,308.39999,343.39999,167.60001,237.5,241.10001,331.5,359.79999,183.89999,224.7,229,288.10001,353.60001,264.70001,231.10001,379.5,317.89999,206.89999,219.2,325.89999,378.60001,314.60001,377.89999,258.89999,311.79999,189.10001,98.699997,219.3,283.60001,291,553.09998,280.5,233.60001,167.60001,238.3,261.70001,28.200001,244.2,103.7,169.7,373.39999,214.39999,728.79999,13.5,175.10001,373.20001,462.39999,218.39999,113.1,379.5,409.29999,244.7,171.2,313.89999,255.7,567.29999,183.7,409.29999,452.70001,444.20001,182,359.70001,358,218.10001,276.79999,434.10001,236.60001,156.8,218.39999,320.89999,305.89999,451.10001,216.5,170,248.10001,262,304.20001,66.099998,212.7,278,189.10001,141.5,220.39999,307.89999,63.599998,93,251.8,178.89999,310.60001,340.29999,492.29999,221.3,151.8,329.39999,595.59998,206.8,319.20001,531.20001,184.3,401.70001,294.5,542.40002,227,267.70001,386.20001,389.5,114,358.89999,58.400002,111.4,464,402.29999,226.5,240.5,298.10001,375.70001,583.40002,213,302.29999,351.60001,678.90002,503.39999,424.5,396.60001,584.90002,458.79999,150.3,201.10001,388.60001,222.89999,192.3,324.20001,232.39999,312.60001,385.20001,266.29999,312.39999,400.60001,158.7,391.39999,244,316.89999,455.10001,232.10001,225.5,158.5,165.89999,207.89999,218.7,422.5,668.09998,357.10001,216.5,645.5,491.29999,388.89999,220.60001,439.79999,462,350.10001,500.60001,251.60001,358.29999,351.10001,304.70001,84.599998,268.20001,106.2,180.3,202.8,389.60001,272.60001,331.5,334,337.29999,401.70001,532.79999,360,280.89999,142.2,198.2,327,285.10001,127.6
AAAS,435.89999,491.20001,371.20001,662.79999,387.79999,139.39999,267.39999,156.2,840.29999,480.39999,148.60001,579.29999,570.40002,456.5,350.39999,608.70001,146.89999,520.59998,735.59998,396.60001,360.10001,660.29999,456,927.5,520,806,551.09998,404.39999,709.79999,528.59998,487.29999,452.79999,833.09998,519.20001,450.79999,217.2,164.7,472.39999,185.89999,342.10001,363.70001,857.59998,438.5,566.09998,1002.1,537.29999,918.29999,901.29999,729.79999,993.5,1011,859.90002,703.40002,125.4,479.10001,564.79999,341.89999,376.5,275,418.29999,749.29999,577.79999,262.29999,505.20001,153.60001,339.89999,169.8,516.5,240.2,239.89999,688.09998,330,556.20001,368.5,384.89999,920.5,128.5,504.5,440,1052.7,601.90002,111.8,793.09998,592.29999,462,1040.5,502.20001,711.09998,967.70001,1249.1,432.60001,332.89999,670.59998,889.29999,161.2,422.5,1040,215.89999,163.7,231,630.59998,782.29999,458.20001,914.70001,384.70001,332.79999,495.5,584.79999,549,616.29999,457,384.29999,506.5,859.5,471.29999,663.29999,421.60001,488.29999,178.10001,933.09998,379.60001,615.09998,172.7,861.40002,520.90002,171,610.29999,232.39999,742.5,266.20001,877.90002,370.79999,170.7,732.5,364,565.09998,309.70001,612,591.20001,277.60001,161.2,255.5,265.29999,405.60001,280.60001,491.70001,713.20001,440.89999,191.7,939.59998,501,677.40002,425.39999,144.10001,209.2,242.2,982.70001,96.5,679.5,348.29999,59.099998,190.2,222.60001,713.70001,252.10001,802.90002,457.20001,1032.7,552.20001,322.89999,1055.5,247.8,963.20001,269.39999,719.79999,852.09998,347,243.10001,65.800003,436.20001,647.29999,611.70001,273.60001,573.09998
